Instância,|V|,k,Raio,Força Bruta,MST V1,MST V2
1,100,5,127,127,187 (147%),156 (123%)
2,100,10,98,TIMEOUT,119 (121%),118 (120%)
3,100,10,93,TIMEOUT,123 (132%),116 (125%)
4,100,20,74,TIMEOUT,93 (126%),87 (118%)
5,100,33,48,TIMEOUT,51 (106%),49 (102%)
6,200,5,84,TIMEOUT,103 (123%),111 (132%)
7,200,10,64,TIMEOUT,90 (141%),77 (120%)
8,200,20,55,TIMEOUT,75 (136%),68 (124%)
9,200,40,37,TIMEOUT,46 (124%),42 (114%)
10,200,67,20,TIMEOUT,21 (105%),21 (105%)
11,300,5,59,TIMEOUT,68 (115%),71 (120%)
12,300,10,51,TIMEOUT,69 (135%),65 (127%)
13,300,30,35,TIMEOUT,48 (137%),45 (129%)
14,300,60,26,TIMEOUT,31 (119%),29 (112%)
15,300,100,18,TIMEOUT,19 (106%),19 (106%)
16,400,5,47,TIMEOUT,68 (145%),60 (128%)
17,400,10,39,TIMEOUT,58 (149%),54 (138%)
18,400,40,28,TIMEOUT,38 (136%),37 (132%)
19,400,80,18,TIMEOUT,21 (117%),21 (117%)
20,400,133,13,TIMEOUT,14 (108%),14 (108%)
21,500,5,40,TIMEOUT,52 (130%),51 (128%)
22,500,10,38,TIMEOUT,50 (132%),50 (132%)
23,500,50,22,TIMEOUT,30 (136%),29 (132%)
24,500,100,15,TIMEOUT,18 (120%),18 (120%)
25,500,167,11,TIMEOUT,13 (118%),12 (109%)
26,600,5,38,TIMEOUT,46 (121%),46 (121%)
27,600,10,32,TIMEOUT,44 (138%),42 (131%)
28,600,60,18,TIMEOUT,23 (128%),22 (122%)
29,600,120,13,TIMEOUT,16 (123%),15 (115%)
30,600,200,9,TIMEOUT,10 (111%),10 (111%)
31,700,5,30,TIMEOUT,38 (127%),35 (117%)
32,700,10,29,TIMEOUT,37 (128%),42 (145%)
33,700,70,15,TIMEOUT,21 (140%),19 (127%)
34,700,140,11,TIMEOUT,14 (127%),13 (118%)
35,800,5,30,TIMEOUT,36 (120%),35 (117%)
36,800,10,27,TIMEOUT,37 (137%),36 (133%)
37,800,80,15,TIMEOUT,20 (133%),19 (127%)
38,900,5,29,TIMEOUT,34 (117%),41 (141%)
39,900,10,23,TIMEOUT,31 (135%),31 (135%)
40,900,90,13,TIMEOUT,17 (131%),17 (131%)